Month,Amount
16-Jan,62257954.15
16-Feb,78691123.42
16-Mar,83327061.75
16-Apr,79716030.34
16-May,81918717.92
16-Jun,83757616.01
16-Jul,81276654.08
16-Aug,83869567.61
16-Sep,81678037.12
16-Oct,73828703.13
16-Nov,84857044.23
16-Dec,80354956.58
17-Jan,83706579.22
17-Feb,70563864.24
17-Mar,86910561.77
17-Apr,74416692.43
17-May,86940981.46
17-Jun,83709023.01
17-Jul,82048188.79
17-Aug,87166624.67
17-Sep,97334576.35
17-Oct,90146117.91
17-Nov,77611246.93
17-Dec,82516839.78
18-Jan,92844098.92
18-Feb,83946145.74
18-Mar,91269885.7
18-Apr,84913736.59
18-May,94495366.46
18-Jun,89569838.6
18-Jul,98036594.44
18-Aug,98221531.17
18-Sep,79263528.17
18-Oct,102796341.6
18-Nov,77233982.71
