Customer_id,Children,Age,Income,Marital,Gender,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,Churn
K409198,0,68,28562,Widowed,Male,Credit Card (automatic),7,172,905,No
S120509,1,27,21705,Married,Female,Bank Transfer(automatic),1,243,801,Yes
K191035,4,50,9610,Widowed,Female,Credit Card (automatic),16,160,2055,No
D90850,1,48,18925,Married,Male,Mailed Check,17,120,2165,No
K662701,0,83,40074,Separated,Male,Mailed Check,2,150,271,Yes
W303516,3,83,22660,Never Married,Female,Electronic Check,7,185,1039,No
U335188,0,79,11468,Widowed,Male,Electronic Check,13,200,1907,Yes
V538685,2,30,26760,Married,Female,Mailed Check,4,115,980,Yes
M716771,2,49,58635,Separated,Male,Bank Transfer(automatic),8,117,1313,No
I676080,1,86,50231,Married,Female,Mailed Check,3,162,509,No
J980369,7,23,22581,Separated,Female,Mailed Check,19,175,2729,No
E243720,2,56,18342,Married,Female,Electronic Check,11,150,1181,No
F139569,0,83,83671,Divorced,Male,Bank Transfer(automatic),13,137,1196,No
X44200,5,29,115115,Separated,Female,Bank Transfer(automatic),17,185,1949,No
H68068,1,30,64257,Separated,Male,Bank Transfer(automatic),10,160,1582,Yes
A403906,3,39,89061,Divorced,Male,Electronic Check,14,178,1840,Yes
V847470,0,63,31659,Married,Female,Bank Transfer(automatic),16,195,2070,Yes
F721878,2,60,44143,Separated,Male,Mailed Check,2,203,882,Yes
F487435,3,61,39262,Widowed,Female,Bank Transfer(automatic),17,152,1833,No
B561228,3,23,19495,Divorced,Male,Credit Card (automatic),13,150,1954,Yes
X325271,4,38,39624,Never Married,Male,Bank Transfer(automatic),20,185,2330,No
I282896,3,30,45714,Divorced,Male,Bank Transfer(automatic),2,127,594,No
I367206,3,52,27442,Widowed,Male,Electronic Check,7,125,713,No
N37182,2,68,79700,Divorced,Male,Electronic Check,9,150,945,No
U644626,3,75,28520,Widowed,Female,Credit Card (automatic),6,163,871,Yes
A766555,1,77,12559,Separated,Male,Bank Transfer(automatic),4,92,774,Yes
V54032,1,47,8762,Married,Female,Mailed Check,10,223,1506,Yes
Z301326,0,70,43883,Widowed,Female,Electronic Check,1,140,419,Yes
J887250,3,20,10483,Separated,Female,Bank Transfer(automatic),1,200,1259,Yes
Z686376,4,69,33443,Never Married,Male,Credit Card (automatic),5,258,1745,Yes
L357432,9,45,43384,Married,Male,Credit Card (automatic),11,230,1795,No
V899967,0,40,21794,Never Married,Female,Electronic Check,4,147,492,No
G571225,6,82,51961,Divorced,Female,Electronic Check,5,230,1014,Yes
S381541,5,74,25942,Separated,Male,Electronic Check,21,175,2681,Yes
R195593,4,69,11212,Widowed,Male,Mailed Check,3,268,1082,Yes
I327596,1,52,8283,Never Married,Male,Mailed Check,5,162,1210,Yes
U790894,2,26,10115,Never Married,Female,Credit Card (automatic),3,230,898,Yes
O739489,1,25,36229,Never Married,Female,Electronic Check,7,140,1341,No
I958127,1,66,25397,Divorced,Female,Credit Card (automatic),10,185,1114,No
Z666770,1,72,50337,Divorced,Male,Electronic Check,16,147,1530,No
X711438,3,21,38211,Divorced,Female,Mailed Check,9,172,1310,No
U369541,3,55,52887,Married,Male,Electronic Check,3,107,893,No
S896111,4,41,12003,Divorced,Male,Credit Card (automatic),4,255,1126,Yes
K227200,4,32,24091,Never Married,Male,Electronic Check,19,192,2017,No
E818912,0,22,15138,Never Married,Female,Credit Card (automatic),9,243,1413,Yes
Y490834,2,44,54458,Divorced,Female,Electronic Check,10,245,1711,Yes
B609739,2,23,132116,Divorced,Male,Bank Transfer(automatic),22,185,2385,Yes
E687638,3,43,37358,Never Married,Female,Credit Card (automatic),9,195,1214,Yes
E492264,1,86,26534,Separated,Female,Bank Transfer(automatic),8,105,740,No
W255321,2,84,76431,Married,Female,Electronic Check,12,92,898,No
S72442,2,62,4662,Separated,Female,Bank Transfer(automatic),3,185,1026,Yes
O845020,5,68,43821,Divorced,Female,Credit Card (automatic),7,188,1234,Yes
D805597,1,59,38392,Never Married,Female,Electronic Check,5,150,727,No
R189303,0,31,44138,Separated,Female,Credit Card (automatic),2,170,453,Yes
N142854,0,51,14365,Widowed,Male,Mailed Check,12,160,1297,Yes
F522569,1,58,62360,Separated,Female,Mailed Check,14,130,1841,No
L384793,1,73,82635,Married,Male,Electronic Check,10,115,1324,Yes
C101444,1,33,15690,Widowed,Female,Mailed Check,7,143,958,No
E987442,1,58,14569,Separated,Male,Credit Card (automatic),16,220,1869,Yes
L54611,0,49,29207,Never Married,Female,Electronic Check,7,125,677,No
L85018,1,26,55319,Never Married,Female,Mailed Check,3,165,1087,No
O942919,1,25,81831,Widowed,Male,Electronic Check,2,195,705,No
I167253,0,42,100077,Separated,Female,Mailed Check,8,152,1416,Yes
R110564,1,81,69966,Widowed,Male,Mailed Check,12,93,1096,No
M278354,1,43,34884,Divorced,Female,Electronic Check,10,127,1084,No
W604879,2,63,45634,Never Married,Male,Bank Transfer(automatic),8,185,1571,No
X345797,3,70,10965,Married,Female,Bank Transfer(automatic),4,265,1007,Yes
N189653,1,78,22365,Widowed,Male,Bank Transfer(automatic),11,208,1323,Yes
M562102,0,48,52637,Separated,Male,Electronic Check,12,152,1809,No
X67911,1,63,19048,Separated,Female,Credit Card (automatic),2,200,1120,Yes
O834546,4,60,42785,Married,Female,Electronic Check,24,213,2677,Yes
I493092,0,87,77997,Divorced,Male,Bank Transfer(automatic),4,255,1268,Yes
H787644,3,54,47507,Married,Female,Bank Transfer(automatic),8,135,823,No
N582710,3,35,7725,Divorced,Male,Electronic Check,9,255,1578,Yes
T689606,1,70,1510,Never Married,Male,Bank Transfer(automatic),2,215,649,Yes
E330599,2,67,81125,Married,Female,Electronic Check,5,270,1648,Yes
C641592,4,46,11796,Widowed,Female,Electronic Check,1,200,768,Yes
E24772,1,50,74795,Never Married,Male,Bank Transfer(automatic),20,150,2426,No
A889769,1,24,19039,Never Married,Female,Mailed Check,25,240,2661,Yes
G391761,0,20,79168,Divorced,Male,Credit Card (automatic),10,127,1130,No
A606860,1,29,37428,Married,Female,Electronic Check,10,188,1771,Yes
E186097,0,31,45148,Divorced,Male,Credit Card (automatic),8,170,943,No
I627613,5,72,74855,Separated,Female,Mailed Check,19,192,1907,No
Z188641,4,71,45324,Divorced,Male,Credit Card (automatic),14,120,1886,No
A740543,2,32,71596,Divorced,Female,Bank Transfer(automatic),2,195,632,No
W681476,0,33,10390,Never Married,Male,Credit Card (automatic),2,140,563,No
G842176,3,67,19657,Widowed,Male,Bank Transfer(automatic),5,115,594,No
Z852663,0,66,27827,Divorced,Female,Electronic Check,4,208,777,Yes
C73741,4,21,15609,Separated,Female,Electronic Check,4,188,1393,Yes
W258972,0,61,19816,Never Married,Female,Bank Transfer(automatic),4,135,394,No
G491883,0,75,58483,Separated,Female,Mailed Check,2,192,410,Yes
C302549,0,63,41657,Widowed,Female,Mailed Check,14,223,2138,Yes
K581313,0,68,115510,Separated,Female,Electronic Check,3,162,444,No
T46150,2,32,15841,Never Married,Male,Electronic Check,20,160,2481,Yes
B260505,0,76,81127,Never Married,Male,Mailed Check,18,185,2234,No
W877056,0,29,24271,Divorced,Female,Credit Card (automatic),5,245,1159,Yes
M478246,0,83,54466,Married,Female,Electronic Check,7,125,529,No
N417817,10,23,64817,Divorced,Male,Mailed Check,13,187,1957,Yes
R180138,5,80,103311,Never Married,Male,Mailed Check,20,163,2056,No
N931384,0,20,40211,Never Married,Male,Electronic Check,7,182,1067,No
O967373,0,69,58077,Separated,Male,Credit Card (automatic),14,223,1806,Yes
G695985,1,32,43466,Never Married,Male,Bank Transfer(automatic),11,182,1398,No
P33478,0,53,23290,Divorced,Female,Mailed Check,3,220,808,Yes
K100436,2,25,49158,Separated,Male,Electronic Check,17,170,1887,No
L475907,0,69,3806,Divorced,Male,Mailed Check,23,205,2295,Yes
A78095,3,71,52616,Widowed,Male,Electronic Check,4,205,826,Yes
X742990,3,53,30550,Widowed,Female,Credit Card (automatic),11,245,2073,Yes
P347346,2,56,12154,Divorced,Male,Bank Transfer(automatic),13,172,1437,Yes
O235183,0,42,30649,Married,Male,Bank Transfer(automatic),15,172,1963,Yes
R776311,3,33,31417,Married,Male,Electronic Check,9,195,1324,Yes
C25146,1,47,55861,Divorced,Male,Bank Transfer(automatic),5,137,705,No
E722502,1,48,9044,Widowed,Female,Credit Card (automatic),7,192,889,Yes
D515341,0,63,25382,Never Married,Female,Mailed Check,3,160,377,Yes
U972291,1,40,65064,Widowed,Male,Bank Transfer(automatic),18,112,1606,No
N374641,0,67,12528,Divorced,Male,Mailed Check,13,175,1431,Yes
R736057,0,56,35499,Divorced,Female,Credit Card (automatic),23,162,2254,No
K401117,6,24,26282,Married,Female,Mailed Check,6,137,1353,No
O17401,2,79,51237,Divorced,Female,Electronic Check,13,275,1701,No
E779833,3,61,64222,Married,Male,Electronic Check,7,127,1291,Yes
Q527077,0,38,11015,Divorced,Male,Electronic Check,9,210,1403,Yes
Q765651,4,28,21172,Divorced,Female,Credit Card (automatic),22,147,2604,No
W400552,3,44,26131,Divorced,Male,Credit Card (automatic),5,243,1256,Yes
S979985,1,65,36478,Widowed,Male,Mailed Check,10,115,981,No
E351590,3,35,54534,Divorced,Female,Bank Transfer(automatic),8,188,1348,No
J227824,2,31,37103,Separated,Female,Credit Card (automatic),8,150,1127,No
S136858,2,34,74680,Widowed,Male,Bank Transfer(automatic),7,125,1270,No
N883325,2,68,95029,Separated,Male,Electronic Check,5,220,1039,Yes
U700981,0,62,34281,Never Married,Male,Bank Transfer(automatic),10,172,1531,No
X267853,0,52,36241,Separated,Male,Electronic Check,4,120,991,No
